start_time,server_ip,type,ttfb,download_time,get_size,chunk_size,rel_start_time,rel_end_time
1520313158.623394,74.125.159.9,v,0.5430600643157959,2.891839027404785,690,1900094,102.92558813095093,105.81742715835571
1520313172.815063,74.125.159.9,v,0.03326296806335449,1.665471076965332,687,1760614,117.1172571182251,118.78272819519043
1520313177.889907,74.125.159.9,a,0.03925013542175293,0.3772711753845215,604,469086,122.1921010017395,122.56937217712402
1520313185.312046,74.125.159.9,v,0.02378702163696289,2.1659178733825684,670,2124409,129.61424016952515,131.78015804290771
1520313192.815024,74.125.159.9,a,0.0801851749420166,0.44596099853515625,621,573556,137.11721801757812,137.56317901611328
1520313199.062254,74.125.159.9,v,0.0444791316986084,1.9777750968933105,687,2136584,143.36444807052612,145.34222316741943
1520313212.561935,74.125.159.9,a,0.028283119201660156,0.603140115737915,604,412832,156.86412906646729,157.4672691822052
1520313213.220328,74.125.159.9,v,0.2764899730682373,3.1453278064727783,670,2166181,157.52252221107483,160.6678500175476
1520313375.321373,74.125.159.9,v,0.031915903091430664,2.3866961002349854,956,1799848,319.6235671043396,322.0102632045746
1520313377.709684,74.125.159.9,a,0.021715164184570312,0.5433151721954346,619,542148,322.01187801361084,322.5551931858063
1520313378.263574,74.125.159.9,v,0.015693187713623047,1.5784130096435547,670,1757088,322.56576800346375,324.1441810131073
1520313379.878706,74.125.159.9,a,0.2404029369354248,0.624845027923584,603,583516,324.1809000968933,324.8057451248169
1520313380.506349,74.125.159.9,v,0.0049669742584228516,3.4318628311157227,683,2020599,324.80854320526123,328.24040603637695
1520313383.942948,74.125.159.9,v,0.021501779556274414,2.9098458290100098,669,1720367,328.2451422214508,331.1549880504608
1520313386.858209,74.125.159.9,a,0.01732611656188965,0.4187741279602051,618,535052,331.16040301322937,331.5791771411896
1520313387.282221,74.125.159.9,v,0.003412961959838867,1.2058520317077637,670,1797992,331.58441519737244,332.7902672290802
1520313388.490453,74.125.159.9,a,0.0008809566497802734,0.8916029930114746,620,595998,332.7926471233368,333.68425011634827
1520313389.425992,74.125.159.9,v,0.11360692977905273,3.050724983215332,670,1989125,333.7281861305237,336.778911113739
1520313392.477858,74.125.159.9,v,0.015977859497070312,1.1884419918060303,671,1991952,336.7800521850586,337.9684941768646
1520313393.666328,74.125.159.9,a,7.009506225585938e-05,0.3365941047668457,620,461720,337.9685220718384,338.3051161766052
1520313394.006906,74.125.159.9,v,0.0034809112548828125,1.3608839511871338,686,2011905,338.309100151062,339.66998410224915
1520313395.372629,74.125.159.9,v,0.007824182510375977,2.019482135772705,670,2056594,339.6748230457306,341.6943051815033
1520313397.419753,74.125.159.9,a,0.003919839859008789,0.282214879989624,604,460803,341.72194719314575,342.0041620731354
1520313397.702669,74.125.159.9,v,0.004831075668334961,1.3607141971588135,684,1667542,342.00486302375793,343.36557722091675
1520313399.064603,74.125.159.9,a,0.015369892120361328,0.40083980560302734,605,601964,343.366797208786,343.76763701438904
1520313399.467161,74.125.159.9,v,0.005530118942260742,3.054903984069824,684,2149024,343.76935505867004,346.82425904273987
1520313420.320274,74.125.159.9,v,0.07440185546875,1.827617883682251,670,2005567,364.6224682331085,366.45008611679077
1520313437.067011,74.125.159.9,a,0.03480982780456543,0.22433185577392578,624,347083,381.36920523643494,381.59353709220886
1520313441.817631,74.125.159.9,v,0.03183102607727051,0.14005398750305176,670,256572,386.1198251247406,386.25987911224365
